Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Honda,CR-V,0.62,Universal,0.2750992750992751,0.375,Petrol,Manual,0.05711422845691383
BMW,5 Series,0.88,Sedan,0.18023518023518023,0.375,Diesel,Automatic,0.21342685370741482
Honda,CR-V,0.78,Crossover,0.182999182999183,0.4166666666666667,Diesel,Manual,0.12824649298597193
Nissan,Note,0.8,Hatchback,0.194999194999195,0.2708333333333333,Diesel,Manual,0.05060120240480962
Volkswagen,Passat,0.44,Universal,0.31125331125331124,0.375,Metan/Propan,Manual,0.28857715430861725
Opel,Astra,0.78,Hatchback,0.18999918999919,0.22916666666666666,Diesel,Manual,0.06312625250501001
Skoda,Rapid,0.9,Universal,0.115999115999116,0.29125,Petrol,Automatic,0.10120240480961924
Volkswagen,Sharan,0.7,Minivan,0.24999924999925,0.375,Diesel,Manual,0.06713426853707415
Nissan,Qashqai,0.88,Crossover,0.148999148999149,0.20833333333333334,Petrol,Automatic,0.12324649298597194
Skoda,Superb,0.9,Sedan,0.16999916999917,0.375,Diesel,Automatic,0.17324649298597194
Toyota,Land Cruiser,0.6,SUV,0.24999924999925,0.9375,Metan/Propan,Automatic,0.09809619238476953
Toyota,Corolla,0.7,Universal,0.255999255999256,0.25,Diesel,Manual,0.053006012024048095
Mazda,Tribute,0.62,SUV,0.254999254999255,0.375,Petrol,Manual,0.03797595190380761
Chevrolet,Volt,0.8,Hatchback,0.18999918999919,0.25,Plug-in Hybrid,Automatic,0.08967935871743488
Mercedes,GLE Coupe,0.96,Crossover,0.023999023999024,0.5833333333333334,Petrol,Automatic,0.5090180360721442
Volkswagen,Passat,0.62,Universal,0.26999926999927,0.3333333333333333,Petrol,Manual,0.023547094188376753
Volkswagen,Touareg,0.78,SUV,0.234999234999235,0.5833333333333334,Diesel,Automatic,0.20791583166332667
BMW,5 Series,0.58,Sedan,0.2546032546032546,0.4791666666666667,Petrol,Manual,0.04308617234468938
Renault,Megane,0.76,Universal,0.164999164999165,0.2708333333333333,Diesel,Manual,0.04808617234468938
Toyota,C-HR,0.92,Crossover,0.114999114999115,0.3333333333333333,Hybrid,Automatic,0.17834669338677356
BMW,7 Series,0.54,Sedan,0.34999934999935,0.6875,Petrol,Manual,0.03797595190380761
Mercedes,E Class,0.82,Sedan,0.14999914999915,0.4791666666666667,Diesel,Automatic,0.14318637274549098
Audi,A7,0.94,Hatchback,0.03109003109003109,0.5833333333333334,Petrol,Automatic,0.35370741482965934
Renault,Clio,0.7,Hatchback,0.27999927999928,0.2627083333333333,Diesel,Manual,0.04107214428857715
